Partita,Risultato,Numero_maglia,Nome,Gol,Assist,Contrasti,Uno contro uno,Uno contro uno riusciti,Minuti giocati,Posizione,Valutazione,Squadra,Match_winner,Tiri in porta,Tiri fuori,Tiri bloccati,Dribbling tentati,Dribbling tentati riusciti,Salvataggi,Intercetti,Dribbling_subiti,Passaggi effettuati,Precisione_passaggi,Passaggi chiave,Cross,Cross prec.,Palle lunghe,Palle lunghe riusciti,Palle_perse,Falli subiti,Falli,Respinte,Uscite,Vincenti,Duelli di testa vinti,Parate da dentro l'area,Salvataggio sulla linea di porta,Rigori parati,Grossa occasione da rete creata,Autogol,Errore che ha portato al tiro,Falli da rigore commessi,Errori che hanno portato al gol,Rigori sbagliati,Fallo su ultimo uomo,Pali e traverse,Grande occasione da rete mancata,Rigori conquistati
Southampton - Stoke City,0-0,13,Alex McCarthy,0,0,0,0,0,90',G,7.2,Southampton,Pareggio,0,0,0,0,0,3,0,0,11,0.61,0,0,0,13,0.46,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,15,Bruno Martins Indi,0,0,0,7,0.43,90',D,7.1,Stoke City,Pareggio,0,0,2,0,0,9,0,1,7,0.63,0,0,0,2,0.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,39,Josh Sims,0,0,3,10,0.6,76',M,7.0,Southampton,Pareggio,2,0,0,1,1.0,0,0,1,20,0.87,0,1,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,9,Guido Carrillo,0,0,2,20,0.5,79',F,6.9,Southampton,Pareggio,0,0,0,0,0,0,0,1,13,0.72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,21,Konstantinos Stafylidis,0,0,1,3,0.67,45',D,6.9,Stoke City,Pareggio,0,2,0,1,1.0,1,1,0,5,0.62,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,3,Erik Pieters,0,0,3,12,0.42,67',D,6.9,Stoke City,Pareggio,0,0,1,0,0,4,1,1,10,0.58,1,0,0,5,0.2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,2,Moritz Bauer,0,0,2,8,0.38,90',D,6.8,Stoke City,Pareggio,0,0,0,0,0,3,1,2,11,0.68,0,3,0.0,1,1.0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,4,Joe Allen,0,0,0,6,0.33,90',M,6.8,Stoke City,Pareggio,0,0,0,3,0.67,5,2,2,28,0.84,0,3,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,25,Peter Crouch,0,0,0,13,0.69,45',F,6.8,Stoke City,Pareggio,0,2,0,0,0,2,0,1,11,0.61,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,5,Jack Stephens,0,0,1,6,0.17,90',D,6.7,Southampton,Pareggio,0,0,0,0,0,3,2,1,25,0.75,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
